"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","survey-multi-choice","26","212777","0.0-11.0-1.0-5.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","6818","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","224775","0.0-11.0-1.0-6.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","11997","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","",""
"","","","","","html-button-response","28","226760","0.0-11.0-2.0-0.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","1985","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","29","256410","0.0-11.1-0.1-0.1","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","[{""page_index"":0,""viewing_time"":10482},{""page_index"":1,""viewing_time"":7950},{""page_index"":2,""viewing_time"":1984},{""page_index"":3,""viewing_time"":9233}]","29650","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","261424","0.0-11.1-0.1-1.1","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","4512","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","262988","0.0-11.1-0.1-2.1-0.3","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","32","264165","0.0-11.1-0.1-2.1-1.3","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","1175","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","html-keyboard-response","33","265721","0.0-11.1-0.1-2.1-0.4","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","34","267523","0.0-11.1-0.1-2.1-1.4","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","1799","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","35","269639","0.0-11.1-0.1-2.1-0.5","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
