"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","35","0.0-0.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","18802","0.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","[{""page_index"":0,""viewing_time"":18766}]","18766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","19801","0.0-2.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","1366","611","true","chrome","115.0.0","false","Windows 10","true","60.28","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","22566","0.0-3.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","2732","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","25673","0.0-4.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","2603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","28798","0.0-5.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","3120","","","","","","","","","","","","","{""prolificID"":""5c65739723f6300001380c2c""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","29791","0.0-6.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","1366","768","true","chrome","115.0.0","false","Windows 10","true","60.53","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","62836","0.0-7.0-0.0-0.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","[{""page_index"":0,""viewing_time"":10564},{""page_index"":1,""viewing_time"":7492},{""page_index"":2,""viewing_time"":9473},{""page_index"":3,""viewing_time"":5516}]","33045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","70245","0.0-7.0-0.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","682.0001055193461","270.0099994432679","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","70246","0.0-7.0-0.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","74534","0.0-7.0-0.0-2.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","4287","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","77544","0.0-7.0-0.0-3.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","80049","0.0-7.0-0.0-4.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","319.0000984212561","385.9900004843489","2503.900000035763","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","80049","0.0-7.0-0.0-4.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","319.0000984212561","385.9900004843489","2503.900000035763","500","300","","","","","","","","","","",""
"","","","","","html-button-response","12","82148","0.0-7.0-0.0-5.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","2097","","","","","","","","","","","","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","92939","0.0-7.0-1.0-0.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","10789","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","14","97192","0.0-7.0-1.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","4251","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","15","104097","0.0-7.0-1.0-2.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","6902","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","instructions","16","113246","0.0-8.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","[{""page_index"":0,""viewing_time"":9146}]","9147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","116256","0.0-9.0-0.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.94244999999982","322.3","296.07114317029976","371.46","3","1","","",""
"","","","","","html-keyboard-response","18","118416","0.0-9.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","355.0072551186879","377.9931179034572","2158.099999964237","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","118416","0.0-9.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","355.0072551186879","377.9931179034572","2158.099999964237","","","","","","","","","","1","3","500","250"
"","","","","","html-keyboard-response","19","121419","0.0-9.0-0.1","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.972034999999856","500","510.8711431702997","369.03","8","2","","",""
"","","","","","html-keyboard-response","20","123446","0.0-9.0-1.1","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","588.9900000703689","413.99996248504124","2026.6000000238419","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","123446","0.0-9.0-1.1","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","588.9900000703689","413.99996248504124","2026.6000000238419","","","","","","","","","","2","4","500","350"
"","","","","","html-keyboard-response","21","126448","0.0-9.0-0.2","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.961909000000006","604.4000000000001","667.6211431702998","201.78","9","3","","",""
"","","","","","html-keyboard-response","22","128976","0.0-9.0-1.2","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","656.0099994465801","384.00010520499717","2526.899999976158","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","128976","0.0-9.0-1.2","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","656.0099994465801","384.00010520499717","2526.899999976158","","","","","","","","","","3","2","375","350"
"","","","","","html-keyboard-response","23","131991","0.0-9.0-0.3","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.93958300000034","322.3","308.07114317029976","253.89","2","4","","",""
"","","","","","html-keyboard-response","24","134197","0.0-9.0-1.3","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","625.0000046359681","290.00999999892537","2205.900000035763","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","134197","0.0-9.0-1.3","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","625.0000046359681","290.00999999892537","2205.900000035763","","","","","","","","","","4","5","625","250"
"","","","","","html-keyboard-response","25","137202","0.0-9.0-0.4","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.95727299999996","322.3","308.07114317029976","253.89","2","5","","",""
"","","","","","html-keyboard-response","26","139734","0.0-9.0-1.4","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","656.99","248.9999999985824","2531.5","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","139734","0.0-9.0-1.4","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","656.99","248.9999999985824","2531.5","","","","","","","","","","5","1","375","250"
"","","","","","html-keyboard-response","27","142747","0.0-9.0-0.5","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.95721200000061","500","479.92114317029973","330.87","6","6","","",""
"","","","","","html-keyboard-response","28","144962","0.0-9.0-1.5","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","438.0002679037932","300.9900035892663","2215.099999964237","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","144962","0.0-9.0-1.5","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","438.0002679037932","300.9900035892663","2215.099999964237","","","","","","","","","","6","5","625","250"
"","","","","","html-keyboard-response","29","147977","0.0-9.0-0.6","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.95830999999951","500","553.4711431702997","282.51","7","7","","",""
"","","","","","html-keyboard-response","30","149974","0.0-9.0-1.6","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","477.99000010875176","315.999953362853","1996.8999999761581","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","149974","0.0-9.0-1.6","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","477.99000010875176","315.999953362853","1996.8999999761581","","","","","","","","","","7","6","625","350"
"","","","","","html-keyboard-response","31","152987","0.0-9.0-0.7","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.95666300000116","500","453.67114317029973","210.33","5","8","","",""
"","","","","","html-keyboard-response","32","155203","0.0-9.0-1.7","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","488.99598099993904","298.00915683561664","2215.199999988079","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","155203","0.0-9.0-1.7","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","488.99598099993904","298.00915683561664","2215.199999988079","","","","","","","","","","8","1","375","250"
"","","","","","html-keyboard-response","33","158205","0.0-9.0-0.8","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.97904999999929","500","453.67114317029973","210.33","5","9","","",""
"","","","","","html-keyboard-response","34","159878","0.0-9.0-1.8","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","465.0099286792586","315.99880780530987","1672.199999988079","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","159878","0.0-9.0-1.8","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","465.0099286792586","315.99880780530987","1672.199999988079","","","","","","","","","","9","6","625","350"
"","","","","","html-keyboard-response","35","162894","0.0-9.0-0.9","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.93799700000047","500","453.67114317029973","210.33","5","10","","",""
"","","","","","html-keyboard-response","36","164574","0.0-9.0-1.9","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","504.00958894354864","307.0028376331019","1679.1000000238419","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","164574","0.0-9.0-1.9","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","504.00958894354864","307.0028376331019","1679.1000000238419","","","","","","","","","","10","4","500","350"
"","","","","","html-keyboard-response","37","167589","0.0-9.0-0.10","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.98508900000029","604.4000000000001","667.6211431702998","201.78","9","11","","",""
"","","","","","html-keyboard-response","38","169664","0.0-9.0-1.10","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","319.0083753001923","284.99453608687037","2074.899999976158","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","169664","0.0-9.0-1.10","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","319.0083753001923","284.99453608687037","2074.899999976158","","","","","","","","","","11","6","625","350"
"","","","","","html-keyboard-response","39","172668","0.0-9.0-0.11","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.937264999999435","604.4000000000001","575.4211431702997","266.76","12","12","","",""
"","","","","","html-keyboard-response","40","174476","0.0-9.0-1.11","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","569.9914817941365","295.00523833645985","1807.0999999642372","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","174476","0.0-9.0-1.11","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","569.9914817941365","295.00523833645985","1807.0999999642372","","","","","","","","","","12","3","500","250"
"","","","","","html-keyboard-response","41","177480","0.0-9.0-0.12","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.95617500000106","604.4000000000001","596.8711431702998","394.5","10","13","","",""
"","","","","","html-keyboard-response","42","179213","0.0-9.0-1.12","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","629.0021231945863","295.0097720031083","1733.3999999761581","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","179213","0.0-9.0-1.12","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","629.0021231945863","295.0097720031083","1733.3999999761581","","","","","","","","","","13","6","625","350"
"","","","","","html-keyboard-response","43","182226","0.0-9.0-0.13","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.953125","604.4000000000001","667.6211431702998","201.78","9","14","","",""
"","","","","","html-keyboard-response","44","184342","0.0-9.0-1.13","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","335.99121922764914","294.9952148106701","2115.5","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","184342","0.0-9.0-1.13","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","335.99121922764914","294.9952148106701","2115.5","","","","","","","","","","14","3","500","250"
"","","","","","html-keyboard-response","45","187354","0.0-9.0-0.14","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.95641900000023","322.3","356.42114317029973","357.87","4","15","","",""
"","","","","","html-keyboard-response","46","189110","0.0-9.0-1.14","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","662.9950877605377","280.99128966685686","1756.199999988079","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","189110","0.0-9.0-1.14","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","662.9950877605377","280.99128966685686","1756.199999988079","","","","","","","","","","15","6","625","350"
"","","","","","html-keyboard-response","47","192115","0.0-9.0-0.15","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.94934299999967","604.4000000000001","650.0211431702996","404.58000000000004","11","16","","",""
"","","","","","html-keyboard-response","48","193623","0.0-9.0-1.15","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","619.9999795036429","273.9900000210051","1507.800000011921","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","193624","0.0-9.0-1.15","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","619.9999795036429","273.9900000210051","1507.800000011921","","","","","","","","","","16","5","625","250"
"","","","","","html-keyboard-response","49","196628","0.0-9.0-0.16","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.96239700000012","500","479.92114317029973","330.87","6","17","","",""
"","","","","","html-keyboard-response","50","199051","0.0-9.0-1.16","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","506.9946312335906","299.0084366075671","2422.7999999523163","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","199051","0.0-9.0-1.16","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","506.9946312335906","299.0084366075671","2422.7999999523163","","","","","","","","","","17","2","375","350"
"","","","","","html-keyboard-response","51","202056","0.0-9.0-0.17","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.955869999999","500","453.67114317029973","210.33","5","18","","",""
"","","","","","html-keyboard-response","52","203654","0.0-9.0-1.17","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","452.9950805227124","285.00870624736706","1597.800000011921","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","52","203654","0.0-9.0-1.17","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","452.9950805227124","285.00870624736706","1597.800000011921","","","","","","","","","","18","2","375","350"
"","","","","","html-button-response","53","241440","0.0-10.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","37784","","","","","","","","","","","","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","54","244446","0.0-11.0-0.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.9565410000007","322.3","296.07114317029976","371.46","3","19","","",""
"","","","","","html-keyboard-response","55","249429","0.0-11.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","464.9905535324262","263.00328089170455","4982.800000011921","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","249429","0.0-11.0-1.0","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","464.9905535324262","263.00328089170455","4982.800000011921","","","","","","","","","","19","2","375","350"
"","","","","","html-keyboard-response","56","252442","0.0-11.0-0.1","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.95550399999937","604.4000000000001","667.6211431702998","201.78","9","20","","",""
"","","","","","html-keyboard-response","57","254209","0.0-11.0-1.1","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","592.9951969270331","298.9912289972024","1766.7000000476837","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","254209","0.0-11.0-1.1","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","592.9951969270331","298.9912289972024","1766.7000000476837","","","","","","","","","","20","5","625","250"
"","","","","","html-keyboard-response","58","257218","0.0-11.0-0.2","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.96020100000055","500","553.4711431702997","282.51","7","21","","",""
"","","","","","html-keyboard-response","59","259251","0.0-11.0-1.2","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","515.9900022584463","304.0002125178243","2032.1000000238419","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","259251","0.0-11.0-1.2","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","515.9900022584463","304.0002125178243","2032.1000000238419","","","","","","","","","","21","2","375","350"
"","","","","","html-keyboard-response","60","262263","0.0-11.0-0.3","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.95013600000006","604.4000000000001","596.8711431702998","394.5","10","22","","",""
"","","","","","html-keyboard-response","61","264742","0.0-11.0-1.3","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","617.01","267.9999999998778","2478.2999999523163","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","264742","0.0-11.0-1.3","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","reconstruct","","","","","","617.01","267.9999999998778","2478.2999999523163","","","","","","","","","","22","2","375","350"
"","","","","","html-keyboard-response","62","267744","0.0-11.0-0.4","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.96319000000227","604.4000000000001","596.8711431702998","394.5","10","23","","",""
"","","","","","html-keyboard-response","63","269542","0.0-11.0-1.4","5c65739723f6300001380c2c","64d3ef96556dbe1f0e02b5aa","64da90e9f6dda10274309386","","","","","","","","","","","","","","","","","","","","","","","","580.0099811036353","250.0006144674289","1797.3999999761581","","","","","","","","","","","","",""
